angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,[801 175 369 369],,0.0,,0.02,,0.0,,0.91,,0.05,,0.0,
0.01,,[802 175 368 368],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[802 175 368 368],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[798 171 376 376],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[797 171 378 378],,0.0,,0.02,,0.0,,0.89,,0.06,,0.01,
0.01,,[795 170 380 380],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[795 170 380 380],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[795 170 380 380],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[793 169 382 382],,0.0,,0.03,,0.0,,0.88,,0.07,,0.01,
0.01,,[793 169 382 382],,0.0,,0.03,,0.0,,0.89,,0.06,,0.01,
0.01,,[791 171 380 380],,0.0,,0.02,,0.0,,0.88,,0.07,,0.01,
0.01,,[792 171 379 379],,0.0,,0.03,,0.0,,0.89,,0.06,,0.01,
0.01,,[792 171 379 379],,0.0,,0.03,,0.0,,0.89,,0.06,,0.01,
0.01,,[790 172 378 378],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.02,,[791 173 377 377],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[788 173 379 379],,0.0,,0.01,,0.0,,0.92,,0.05,,0.01,
0.01,,[789 174 377 377],,0.0,,0.01,,0.0,,0.92,,0.05,,0.01,
0.01,,[789 174 377 377],,0.0,,0.01,,0.0,,0.92,,0.05,,0.01,
0.01,,[787 175 375 375],,0.0,,0.01,,0.0,,0.93,,0.04,,0.01,
0.01,,[787 175 375 375],,0.0,,0.01,,0.0,,0.93,,0.04,,0.01,
0.01,,[789 175 375 375],,0.0,,0.02,,0.0,,0.93,,0.04,,0.01,
0.01,,[790 175 373 373],,0.0,,0.02,,0.0,,0.91,,0.05,,0.01,
0.01,,[790 175 373 373],,0.0,,0.02,,0.0,,0.91,,0.05,,0.01,
0.01,,[785 175 377 377],,0.0,,0.01,,0.0,,0.93,,0.04,,0.01,
0.01,,[786 175 376 376],,0.0,,0.02,,0.0,,0.92,,0.05,,0.01,
0.01,,[788 176 374 374],,0.0,,0.02,,0.0,,0.91,,0.06,,0.01,
0.01,,[788 176 374 374],,0.0,,0.02,,0.0,,0.91,,0.06,,0.01,
0.01,,[788 176 374 374],,0.0,,0.02,,0.0,,0.91,,0.06,,0.01,
0.01,,[790 173 376 376],,0.0,,0.03,,0.0,,0.89,,0.05,,0.02,
0.01,,[790 173 376 376],,0.0,,0.03,,0.0,,0.89,,0.05,,0.02,
0.01,,[789 172 379 379],,0.0,,0.02,,0.0,,0.9,,0.06,,0.0,
0.01,,[788 173 379 379],,0.0,,0.01,,0.0,,0.93,,0.04,,0.0,
0.01,,[788 173 379 379],,0.0,,0.01,,0.0,,0.93,,0.04,,0.0,
0.02,,[788 172 379 379],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.02,,[788 172 380 380],,0.0,,0.01,,0.0,,0.9,,0.06,,0.0,
0.01,,[787 172 381 381],,0.0,,0.01,,0.0,,0.92,,0.05,,0.0,
0.01,,[787 172 381 381],,0.0,,0.01,,0.0,,0.92,,0.05,,0.0,
0.01,,[787 172 381 381],,0.0,,0.01,,0.0,,0.92,,0.05,,0.0,
0.01,,[787 174 378 378],,0.0,,0.01,,0.0,,0.92,,0.05,,0.01,
